"0","6.0","2.0","8.0","93.0","21411","1325","1"
"1","6.0","2.0","2.0","12.0","18478","876","1"
"1","4.0","1.0","236.0","334.0","13436","1405","1"
"0","13.0","2.0","266.0","1000.0","8414","306","1"
"0","4.0","1.0","38.0","40.0","17097","2302","1"
"0","2.0","1.0","27.0","58.0","27311","1937","1"
"0","8.0","2.0","39.0","265.0","13365","1928","1"
"1","6.0","3.0","51.0","113.0","16567","1181","1"
"0","6.0","2.0","29.0","32.0","9930","1300","1"
"0","3.0","1.0","28.0","95.0","3662","230","1"
"1","4.0","1.0","0.0","18.0","580","1329","1"
"0","6.0","2.0","30.0","804.0","36240","2988","1"
"0","2.0","1.0","0.0","119.0","30580","2289","1"
"1","6.0","2.0","280.0","985.0","19318","910","1"
"0","3.0","1.0","60.0","71.0","1025","651","1"
"0","10.0","2.0","0.0","999.0","5365","982","1"
"0","5.0","4.0","0.0","1000.0","5772","345","1"
"0","2.0","1.0","540.0","1000.0","18989","247","1"
"0","18.0","4.0","1.0","6.0","24976","443","1"
"0","2.0","0.0","79.0","231.0","14754","1657","1"
"0","6.0","4.0","0.0","1.0","24224","719","1"
"0","4.0","0.0","103.0","755.0","21300","127","1"
"0","3.0","0.0","473.0","776.0","18738","279","1"
"0","4.0","3.0","127.0","287.0","3950","272","1"
"0","11.0","3.0","719.0","857.0","9625","777","1"
"0","6.0","1.0","14.0","15.0","7791","141","1"
"0","80.0","32.0","17.0","34.0","21122","198","1"
"0","7.0","0.0","0.0","1000.0","11121","49","1"
"0","7.0","1.0","0.0","7.0","8797","14","1"
"0","4.0","2.0","14.0","357.0","11911","1796","1"
"0","1.0","0.0","13.0","137.0","16367","574","1"
"0","3.0","0.0","123.0","208.0","13937","1604","1"
"0","4.0","4.0","0.0","7.0","13333","198","1"
"0","10.0","5.0","0.0","0.0","11952","21","1"
"0","9.0","1.0","0.0","996.0","14029","705","1"
"1","8.0","1.0","0.0","2.0","18164","930","1"
"0","11.0","7.0","0.0","10.0","6432","959","1"
"0","14.0","3.0","445.0","514.0","23018","1334","1"
"1","2.0","0.0","90.0","494.0","9915","827","1"
"0","6.0","3.0","33.0","39.0","24527","908","1"
"0","11.0","9.0","437.0","1000.0","12512","560","1"
"0","9.0","3.0","0.0","3.0","24434","982","1"
"0","4.0","2.0","798.0","840.0","16663","576","1"
"0","6.0","2.0","97.0","120.0","4057","2158","1"
"0","8.0","5.0","5.0","10.0","8389","500","1"
"0","8.0","6.0","37.0","57.0","11341","384","1"
"0","7.0","4.0","0.0","1.0","30179","349","1"
"0","10.0","3.0","176.0","221.0","13084","816","1"
"1","2.0","0.0","174.0","226.0","18070","665","1"
"0","4.0","1.0","59.0","107.0","8391","755","1"
"0","1.0","0.0","660.0","726.0","6429","770","1"
"0","2.0","3.0","102.0","324.0","10701","2097","1"
"0","8.0","2.0","5.0","80.0","12443","479","1"
"0","7.0","3.0","271.0","448.0","5532","1713","1"
"0","1.0","1.0","0.0","999.0","23846","222","1"
"0","2.0","1.0","0.0","1000.0","24474","696","1"
"0","6.0","4.0","69.0","510.0","17413","481","1"
"0","3.0","0.0","146.0","262.0","5832","547","1"
"1","13.0","7.0","129.0","992.0","18278","1259","1"
"1","7.0","3.0","3.0","11.0","18448","581","1"
"0","35.0","7.0","976.0","1000.0","11177","102","1"
"0","9.0","6.0","25.0","50.0","4535","1319","1"
"0","5.0","3.0","165.0","209.0","15922","11","1"
"0","4.0","1.0","561.0","724.0","10571","297","1"
"0","4.0","2.0","155.0","326.0","28137","213","1"
"0","7.0","8.0","0.0","27.0","7193","1326","1"
"0","9.0","8.0","5.0","6.0","32872","820","1"
"0","3.0","3.0","277.0","303.0","9932","122","1"
"1","1.0","1.0","9.0","186.0","12047","234","1"
"0","7.0","1.0","6.0","105.0","6905","316","1"
"0","1.0","0.0","165.0","427.0","21359","1801","1"
"0","4.0","0.0","66.0","180.0","9093","295","1"
"0","10.0","5.0","63.0","171.0","24919","848","1"
"0","3.0","1.0","33.0","383.0","6298","1225","1"
"0","11.0","5.0","5.0","39.0","14890","1499","1"
